Alternative,Thickness_mm,Density_kg_m3,Material,DeltaT_C,OCPI,DeltaP_Pa,CO2_ppm,HCHO_mg_m3,TVOC_mg_m3
A01,25,200,Celdek 7090,7.9,4.14940398,110.0,370.0,0.021,0.023
A02,50,200,Celdek 7090,9.0,5.93839303,125.0,356.0,0.019,0.02
A03,75,200,Celdek 7090,10.0,6.21030345,137.0,341.0,0.016,0.018
A04,100,200,Celdek 7090,10.5,6.369426751592357,157.0,325.0,0.014,0.017
A05,25,400,Celdek 7090,9.0,4.344940348,130.0,345.0,0.018,0.02
A06,50,400,Celdek 7090,11.7,6.2149403348,152.0,330.0,0.015,0.018
A07,75,400,Celdek 7090,13.0,6.63920202,172.0,315.0,0.013,0.016
A08,100,400,Celdek 7090,14.4,6.96944162436548,197.0,307.0,0.011,0.015
A09,25,600,Celdek 7090,11.0,4.880952380952381,210.0,315.0,0.015,0.015
A10,50,600,Celdek 7090,14.0,6.808510638297872,235.0,298.0,0.012,0.014
A11,75,600,Celdek 7090,16.5,7.2171875,256.0,285.0,0.01,0.013
A12,100,600,Celdek 7090,17.0,7.536764705882353,272.0,277.0,0.007,0.011
A13,25,800,Celdek 7090,10.3,4.64293048484,235.0,298.0,0.012,0.013
A14,50,800,Celdek 7090,12.5,6.639224849,270.0,282.0,0.01,0.012
A15,75,800,Celdek 7090,14.8,7.130328483,290.0,271.0,0.008,0.011
A16,100,800,Celdek 7090,16.2,7.21020905923345,315.0,260.0,0.006,0.009
A17,25,200,Luffa packing,6.32,3.6099814626,126.0,388.5,0.02415,0.026449999999999998
A18,50,200,Luffa packing,7.2,5.166401936100001,143.0,373.8,0.021849999999999998,0.023
A19,75,200,Luffa packing,8.0,5.4029640015,157.0,358.05,0.0184,0.020699999999999996
A20,100,200,Luffa packing,8.4,5.54140127388535,180.0,341.25,0.0161,0.01955
A21,25,400,Luffa packing,7.2,3.78009810276,149.0,362.25,0.020699999999999996,0.023
A22,50,400,Luffa packing,9.36,5.406998091276,174.0,346.5,0.017249999999999998,0.020699999999999996
A23,75,400,Luffa packing,10.4,5.7761057574,197.0,330.75,0.014949999999999998,0.0184
A24,100,400,Luffa packing,11.520000000000001,6.063414213197968,226.0,322.35,0.012649999999999998,0.017249999999999998
A25,25,600,Luffa packing,9.1,4.0,225.0,335.0,0.017,0.019
A26,50,600,Luffa packing,11.4,5.208333333333333,240.0,315.0,0.013,0.016
A27,75,600,Luffa packing,12.5,5.555555555555555,270.0,300.0,0.011,0.014
A28,100,600,Luffa packing,13.0,5.693950177935943,281.0,294.0,0.01,0.012
A29,25,800,Luffa packing,5.120000000000001,3.90393495218108,342.0,312.90000000000003,0.0138,0.014949999999999998
A30,50,800,Luffa packing,6.24,5.0612561863,324.0,296.1,0.0115,0.0138
A31,75,800,Luffa packing,7.6000000000000005,5.35950335995,311.0,284.55,0.0092,0.012649999999999998
A32,100,800,Luffa packing,7.68,5.4986959,299.0,273.0,0.0069,0.010349999999999998
A33,25,200,Coconut Coir packing,5.056000000000001,3.140683872462,139.0,404.04,0.026565000000000005,0.029624
A34,50,200,Coconut Coir packing,5.760000000000001,4.494769684407,158.0,388.752,0.024035,0.02576
A35,75,200,Coconut Coir packing,6.4,4.700578681305,173.0,372.372,0.02024,0.023183999999999996
A36,100,200,Coconut Coir packing,6.720000000000001,4.821019108280255,198.00000000000003,354.90000000000003,0.01771,0.021896000000000002
A37,25,400,Coconut Coir packing,5.760000000000001,3.2886853494011996,164.0,376.74,0.02277,0.02576
A38,50,400,Coconut Coir packing,7.4879999999999995,4.70408833941012,192.0,360.36,0.018975,0.023183999999999996
A39,75,400,Coconut Coir packing,8.32,5.0252120089379995,217.0,343.98,0.016444999999999998,0.020608
A40,100,400,Coconut Coir packing,9.216000000000001,5.275170365482232,249.0,335.244,0.013914999999999999,0.01932
A41,25,600,Coconut Coir packing,7.28,3.48,248.0,348.40000000000003,0.0187,0.02128
A42,50,600,Coconut Coir packing,9.120000000000001,4.53125,264.0,327.6,0.0143,0.017920000000000002
A43,75,600,Coconut Coir packing,10.0,4.833333333333333,297.0,312.0,0.0121,0.015680000000000003
A44,100,600,Coconut Coir packing,10.4,4.9537366548042705,310.0,305.76,0.011000000000000001,0.013440000000000002
A45,25,800,Coconut Coir packing,4.096000000000001,3.3964234083975398,377.0,325.41600000000005,0.01518,0.016744
A46,50,800,Coconut Coir packing,4.992000000000001,4.403292882081,357.0,307.944,0.012650000000000002,0.015456000000000001
A47,75,800,Coconut Coir packing,6.080000000000001,4.662767923156499,343.0,295.932,0.01012,0.014167999999999998
A48,100,800,Coconut Coir packing,6.144,4.783865433000001,329.0,283.92,0.00759,0.011591999999999998
