Alternative,Material,Pareto,Cooling_mid,Pressure_mid,IAQ_mid,Cooling_width,Pressure_width,IAQ_width,Cooling_robust,Pressure_robust,IAQ_robust
A01,Celdek 7090,True,0.18656083973929571,1.0,0.04399741115400976,0.10030053128342545,0.0,0.08799482230801953,0.1715157600467819,1.0,0.030798187807806833
A02,Celdek 7090,True,0.5498168448375095,0.9963876960504248,0.20948011086501123,0.052502242953626994,0.007224607899150359,0.09296636452319108,0.5419415083944654,0.9953040048655523,0.19553515618653255
A03,Celdek 7090,True,0.655640620077619,0.9687425127628596,0.41422789774932256,0.04980499842483795,0.06251497447428078,0.02744707272021562,0.6481698703138934,0.9593652665917175,0.41011083684129024
A04,Celdek 7090,True,0.712391079167427,0.9111123982942484,0.5595361641623184,0.06796514533357652,0.13155596745415943,0.01905157253194061,0.7021963073673906,0.8913790031761245,0.5566784282825273
A05,Celdek 7090,True,0.28580796093165556,0.984868869680606,0.27637603625587626,0.0685414525018703,0.030262260638788008,0.07155966839811509,0.27552674305637503,0.9803295305847879,0.265642085996159
A06,Celdek 7090,True,0.7597224550777224,0.9341860336534031,0.48112382314018753,0.08311118562487102,0.13162793269319373,0.007016594195000014,0.7472557772339917,0.914441843749424,0.48007133401093754
A07,Celdek 7090,True,0.905884486097272,0.8288350670812565,0.6537591889767956,0.12461514427166998,0.10522722146600205,0.04920294047257165,0.8871922144565215,0.8130509838613562,0.6463787479059099
A08,Celdek 7090,True,0.980503213201685,0.6917061817262705,0.7737703613220375,0.038993573596630186,0.06134597815240661,0.08760651562304649,0.9746541771621905,0.6825042850034095,0.7606293839785805
A09,Celdek 7090,False,0.4961617206036719,0.6203991613416777,0.6200235830634708,0.042456444898273285,0.03852773162933687,0.03840754658030849,0.4897932538689309,0.6146200015972771,0.6142624510764245
A10,Celdek 7090,True,0.959094682026864,0.48327027598669164,0.8006064072826391,0.08181063594627219,0.005353511684258794,0.09619405033043904,0.9468230866349232,0.4824672492340528,0.7861772997330733
A11,Celdek 7090,True,1.0,0.3680820122885034,0.9263401081325786,0.0,0.042213756067679076,0.11948073371916723,1.0,0.36174994887835155,0.9084179980747036
A12,Celdek 7090,True,1.0,0.28031952566131224,0.9985762838378676,0.0,0.07029775178838027,0.0028474323242648667,1.0,0.2697748628930552,0.9981491689892278
A13,Celdek 7090,True,0.41418452417244017,0.48327027598669164,0.8310956434647205,0.04146298092229216,0.005353511684258794,0.10595060590870425,0.40796507703409635,0.4824672492340528,0.8152030525784149
A14,Celdek 7090,True,0.8754997277879741,0.2912898364897112,0.9469829580868041,0.11488833605229402,0.06678725232329263,0.09360734757903572,0.8582664773801301,0.2812717486412173,0.9329418559499487
A15,Celdek 7090,True,1.0,0.18158672820572225,0.9975891373239709,0.0,0.1018922469741691,0.0048217253520578705,1.0,0.16630289115959687,0.9968658785211623
A16,Celdek 7090,True,1.0,0.05867229399730922,1.0,0.0,0.11734458799461844,0.0,1.0,0.04107060579811646,1.0
A17,Luffa packing,False,0.04048995113939492,0.9940839307764611,0.0,0.08097990227878984,0.011832138447077867,0.0,0.028342965797576447,0.9923091100093994,0.0
A18,Luffa packing,False,0.31251977734274916,0.9549199211190771,0.027486506573462667,0.05999367125032031,0.09016015776184594,0.054973013146925334,0.30352072665520113,0.9413958974548002,0.01924055460142387
A19,Luffa packing,False,0.40033237323383586,0.9111123982942484,0.20092271781131416,0.043561736088987564,0.13155596745415943,0.09570473030037403,0.3937981128204877,0.8913790031761245,0.18656700826625805
A20,Luffa packing,False,0.4475782283580644,0.7849538237676611,0.36296780537270856,0.043122600109326246,0.0911852236056514,0.043850302280730696,0.44110983834166545,0.7712760402268134,0.356390260030599
A21,Luffa packing,False,0.10197284316227749,0.9410973294752945,0.06456085539421604,0.09521215489446745,0.1178053410494111,0.1042236146309197,0.08769101992810738,0.9234265283178827,0.048927313199578076
A22,Luffa packing,False,0.48365161911865096,0.8178647562528578,0.2743746815764929,0.01732734206611928,0.10171672200091442,0.07220010189551776,0.48105251780873304,0.8026072479527206,0.2635446662921653
A23,Luffa packing,False,0.6080102860943696,0.6917061817262705,0.4681621471508882,0.03456329155019813,0.06134597815240661,0.01219192798510196,0.6028257923618399,0.6825042850034095,0.4663333579531229
A24,Luffa packing,False,0.7236779857000109,0.5326366747144866,0.603645285941141,0.07157695542400325,0.010443735908635676,0.03316649150116289,0.7129414423864103,0.5310701143281913,0.5986703122159666
A25,Luffa packing,False,0.23473429177788133,0.5381218301286861,0.37059906107035345,0.08488502663107801,0.012198985641179494,0.041408300457484004,0.22200153778321963,0.5362919822825092,0.36438781600173087
A26,Luffa packing,False,0.5747124338138613,0.45584449891569445,0.6537591889767956,0.03287802629042719,0.014129760346977882,0.04920294047257165,0.5697807298702972,0.4537250348636478,0.6463787479059099
A27,Luffa packing,False,0.6990914045615221,0.2912898364897112,0.8263945548134037,0.06370924945968691,0.06678725232329263,0.10444625754028287,0.689535017142569,0.2812717486412173,0.8107276161823613
A28,Luffa packing,False,0.7524074626644581,0.23095312693351727,0.9246275902325582,0.08077038805262653,0.08609499938127463,0.11264528892128431,0.7402919044565641,0.21803887702632607,0.9077307968943656
A29,Luffa packing,False,0.03031588065730321,0.0,0.6667234373226041,0.06063176131460642,0.0,0.0533514999432301,0.021221116460112245,0.0,0.6587207123311196
A30,Luffa packing,False,0.24341192411171542,0.03793840653163533,0.8287685248839987,0.07092803113554748,0.07587681306327065,0.10520592796287347,0.2327727194413833,0.02655688457214473,0.8129876356895677
A31,Luffa packing,False,0.3688225826863772,0.06788735509316429,0.9491692056746426,0.04903641273321521,0.13577471018632858,0.10166158865071467,0.3614671207763949,0.047521148565215006,0.9339199673770354
A32,Luffa packing,True,0.39674631120795817,0.13222032947792728,1.0,0.05486044393623829,0.11768949456706346,0.0,0.3885172446175224,0.11456690529286775,1.0
A33,Coconut Coir packing,False,0.0,0.9641349822149321,0.0,0.0,0.0717300355701358,0.0,0.0,0.9533754768794117,0.0
A34,Coconut Coir packing,False,0.13730265907018094,0.9056272428800488,0.0,0.07645887777416832,0.1298007177216156,0.0,0.1258338274040557,0.8861571352218065,0.0
A35,Coconut Coir packing,False,0.1877375226930285,0.8233499116670572,0.04914727010777391,0.0982185456477507,0.10347197173345823,0.09667042240856459,0.17300474084586592,0.8078291159070384,0.03464670674648922
A36,Coconut Coir packing,False,0.22612463414631703,0.6862210263120709,0.19657589264963785,0.0876401170731786,0.05959072841986268,0.09709571435210992,0.21297861658534023,0.6772824170490915,0.18201153549682136
A37,Coconut Coir packing,False,0.017070806604902514,0.8727163103948522,0.0042723725872636075,0.03414161320980503,0.1192692193263527,0.008544745174527215,0.01194956462343176,0.8548259274958993,0.002990660811084525
A38,Coconut Coir packing,False,0.2534245590829311,0.7191319587972678,0.1154134475190783,0.07890414109346211,0.0701222268151257,0.0961958105243268,0.24158893791891178,0.7086136247749989,0.10098407594042928
A39,Coconut Coir packing,False,0.35719234724128524,0.5820030734422816,0.3109987748799877,0.04569844888278878,0.026240983501530035,0.06048039203840011,0.35033757990886694,0.5780669259170521,0.3019267160742277
A40,Coconut Coir packing,False,0.4530586667022476,0.4064781001878995,0.45913776305518506,0.015021226655280877,0.02992700793987224,0.036350998597723866,0.4508054827039555,0.4019890489969187,0.45368511326552646
A41,Coconut Coir packing,False,0.08595170572715932,0.4119632556020989,0.20411985423062415,0.0518904680501556,0.028171758207328423,0.0946816466461941,0.07816813551963599,0.4077374918709996,0.18991760723369502
